Date,Status,Fulfilment,Sales Channel,ship-service-level,Category,Size,Courier Status,Qty,currency,Amount,ship-state,ship-country,B2B,fulfilled-by
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,3XL,Shipped,1,INR,406.0,KARNATAKA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,S,Shipped,1,INR,399.0,TELANGANA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,XS,Shipped,1,INR,399.0,MAHARASHTRA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,L,Shipped,1,INR,771.0,MAHARASHTRA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,6XL,Shipped,1,INR,544.0,ANDHRA PRADESH,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,XXL,Shipped,1,INR,458.0,HARYANA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,XS,Shipped,1,INR,582.0,JHARKHAND,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,3XL,Shipped,1,INR,299.0,CHHATTISGARH,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,M,Shipped,1,INR,1233.0,ANDHRA PRADESH,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,M,Shipped,1,INR,517.0,ODISHA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,XL,Shipped,1,INR,499.0,UTTAR PRADESH,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,M,Shipped,1,INR,424.0,MAHARASHTRA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,M,Shipped,1,INR,399.0,UTTAR PRADESH,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,XL,Shipped,1,INR,599.0,KARNATAKA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,XL,Shipped,1,INR,696.0,TAMIL NADU,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,S,Shipped,1,INR,631.0,KARNATAKA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,XL,Shipped,1,INR,362.0,ODISHA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Bottom,3XL,Shipped,1,INR,377.0,WEST BENGAL,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Western Dress,XXL,Shipped,1,INR,859.0,RAJASTHAN,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,3XL,Shipped,1,INR,725.0,TAMIL NADU,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Western Dress,S,Shipped,1,INR,472.0,MADHYA PRADESH,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,XL,Shipped,1,INR,832.0,HARYANA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,XL,Shipped,1,INR,399.0,HARYANA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Top,M,Shipped,1,INR,518.0,MAHARASHTRA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,S,Shipped,1,INR,597.0,ASSAM,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,S,Shipped,1,INR,549.0,ASSAM,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,3XL,Shipped,1,INR,579.0,KARNATAKA,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,M,Shipped,1,INR,788.0,CHHATTISGARH,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,S,Shipped,1,INR,999.0,UTTAR PRADESH,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,3XL,Shipped,1,INR,376.0,TAMIL NADU,IN,False,Easy Ship
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,kurta,XL,Shipped,1,INR,353.0,KERALA,IN,False,Easy Ship
